Room Temparature,Room Humidity (%),Outside Temp,Outside Humid (%),T.Offset,H.Offset,Set Temperature ,Volt,Amp,Energy,Target,Com_Target,Hum_Target,Volt_Target,Amp_Target
26.65,66.70496894,34.90723602,60.37267081,8.257236025,-6.332298137,20,218.621,7.489,26.65,27.1,28.1453125,73,220.695,5.9988
28.1453125,73,35.67753125,71.721875,7.53221875,-1.278125,20.4,220.695,5.9988,27.1,27.55,29.04603659,75.97256098,222.769,4.5086
29.04603659,75.97256098,33.47182927,82.14634146,4.425792683,6.173780488,20.8,222.769,4.5086,27.55,28,29.40426829,73.79268293,224.843,3.0184
29.40426829,73.79268293,32.52,83,3.115731707,9.207317073,21.2,224.843,3.0184,28,28.45,29.47822086,75.67484663,226.917,1.5282
29.47822086,75.67484663,32.52,83,3.041779141,7.325153374,21.6,226.917,1.5282,28.45,28.9,29.51753846,77.14769231,228.991,0.038
29.51753846,77.14769231,30.42673846,83,0.9092,5.852307692,22,228.991,0.038,28.9,28.90588235,29.53569231,77.04,228.6494706,0.412294118
29.53569231,77.04,29.98,83,0.444307692,5.96,22,228.6494706,0.412294118,28.90588235,28.91176471,29.53250774,77.0619195,228.3079412,0.786588235
29.53250774,77.0619195,30.34965944,86.69659443,0.817151703,9.634674923,22,228.3079412,0.786588235,28.91176471,28.91764706,29.5173913,76.88509317,227.9664118,1.160882353
29.5173913,76.88509317,30.58,89,1.062608696,12.11490683,22,227.9664118,1.160882353,28.91764706,28.92352941,29.52,76,227.6248824,1.535176471
29.52,76,30.58,89,1.06,13,22,227.6248824,1.535176471,28.92352941,28.92941176,29.560625,76.0521875,227.2833529,1.909470588
29.560625,76.0521875,30.95850311,87.5,,,22,227.2833529,1.909470588,28.92941176,28.93529412,29.60125,76.104375,226.9418235,2.283764706
29.60125,76.104375,31.33700621,86,,,22,226.9418235,2.283764706,28.93529412,28.94117647,29.641875,76.1565625,226.6002941,2.658058824
29.641875,76.1565625,31.71550932,84.5,,,22,226.6002941,2.658058824,28.94117647,28.94705882,29.6825,76.20875,226.2587647,3.032352941
29.6825,76.20875,32.09401242,83,,,22,226.2587647,3.032352941,28.94705882,28.95294118,29.723125,76.2609375,225.9172353,3.406647059
